Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
People,Helpful Sales Staff,3,17,7
People,Heritage Dance Troupe,3,19,8
People,Heroes & Heroines,2,14,6
People,Heroic Firemen,2,13,6
People,High Achievers,2,13,4
People,High Fliers,2,10,4
People,High Jumper,2,10,4
People,High Rollers,2,11,4
People,High School Choir,3,15,4
People,High School Debate Team,4,20,4
People,High School Seniors,3,17,4
People,High- School Sweethearts,3,21,4
People,High-End Travelers,2,16,7
People,Higher Court,2,11,6
People,Highest-Paid Actors,2,17,11
People,Highest-Paid Actresses,2,20,11
People,Highest-Paid Athletes,2,19,11
People,Highest-Paid Child Stars,3,21,11
People,High-Profile Celebrity Couple,3,26,11
People,High-School Cheerleaders,2,22,10
People,High-School Sweethearts,2,21,10
People,Hikers & Picnickers,2,16,6
People,Hilarious Stand-Up Comedians,3,25,9
People,Hip Crowd,2,8,3
People,Hippies,1,7,7
People,Hipster Set,2,10,7
People,Hired Help,2,9,5
People,Historical Society,2,17,10
People,Hockey Fans,2,10,6
People,Hockey Legend,2,12,6
People,Hockey Player,2,12,6
People,Holiday Guests,2,13,7
People,Holiday Shoppers,2,15,7
People,Holiday Staff,2,12,7
People,Hollywood Legends,2,16,9
People,Hollywood Royalty,2,16,9
People,Hollywood Scream Queens,3,21,9
People,Home Gardeners,2,13,4
People,Home Of Many Great Olympians,5,24,4
People,Home Owners,2,10,4
People,Home Run All-Time Leaders,4,21,4
People,Home Viewers,2,11,4
People,Homeboy,1,7,7
People,Homecoming King & Queen,3,19,10
People,Homecoming King And Queen,4,22,10
People,Homegrown Talent,2,15,9
People,Homesteaders,1,12,12
People,Honking Horn,2,11,7
People,Honor Guard,2,10,5
People,Honor Society,2,12,5
People,Honor Students,2,13,5
People,Honorable Judge,2,14,9
People,Honorary Board Members,3,20,8
People,Honorary Chairman,2,16,8
People,Honorary Directors,2,17,8
People,Honored Guests,2,13,7
People,Honourary Chairwoman,2,19,9
People,Hoop-Jumpers & Jugglers,2,19,11
People,Horn Section,2,11,4
People,Hospital Emergency Staff,3,22,8
People,Hospital Staff,2,13,8
People,Hospitality Workers,2,18,11
People,Host & Hostess,2,11,4
People,Host And Hostess,3,14,4
People,Hotel Guests,2,11,5
People,House Drummer,2,12,5
People,House Of Notables,3,15,5
People,Houseguests,1,11,11
People,Housekeeping Staff,2,17,12
People,Huge Crowd,2,9,4
People,Hula Dancer,2,10,4
People,Human Beings,2,11,5
People,Human Pyramid,2,12,5
People,Human Race,2,9,5
People,Humorous Storyteller,2,19,8
People,Hung Jury,2,8,4
People,Hungry Crowd,2,11,6
People,Hungry Customers,2,15,6
People,Hungry Family,2,12,6
People,Hunters & Fishermen,2,16,7
People,Husband & Wife,2,11,7
People,Husband And Wife,3,14,7
People,Ice Skaters,2,10,3
People,Ice-Cream Truck Vendors,3,20,8
People,Ice-Dancing Champions,2,19,10
People,Iconic Fashion Photographers,3,26,6
People,Identical Twins,2,14,9
People,Imaginary Enemies,2,16,9
People,Imaginative Minds,2,16,11
People,Immediate Family,2,15,9
People,Important Clients,2,16,9
People,Impressive Fiddlers,2,18,10
People,Improv Actors,2,12,6
People,Incredible Athlete,2,17,10
People,In-Crowd,1,7,7
People,Indie Rock Band,3,13,5
People,Inductees Into The Rock And Roll Hall Of Fame,9,37,9
People,Industrialists,1,14,14
People,Industry Leaders,2,15,8
People,Industry Panel,2,13,8
People,Industry Professionals,2,21,8
People,Infants & Toddlers,2,15,7
People,Infielders & Outfielders,2,21,10
People,Influential Leaders,2,18,11
People,Influential Mentors,2,18,11
People,Influential Physicians,2,21,11
People,Informed Consumers,2,17,8
People,Inner Circle,2,11,5
People,Innkeepers,1,10,10
People,Insatiable Explorers,2,19,10
People,Insomniacs,1,10,10
People,Inspirational Real-Life Heroes,3,27,13
People,Inspiring Artists,2,16,9
People,Inspiring Inventors,2,18,9
People,Inspiring Writers,2,16,9
People,Insured Motorists,2,16,7
People,Intelligence Community,2,21,12
People,Interested Sightseers,2,20,10
People,International Crew,2,17,13
People,International Models,2,19,13
People,International Students,2,21,13
People,International Visitors,2,21,13
People,Internet Service Providers,3,24,8
People,In-The-Know Concierge,2,18,9
People,Intrepid Explorers,2,17,8
People,Introverts & Extroverts,2,20,10
People,Introverts And Extroverts,3,23,10
People,Inventors & Scientists,2,19,9
People,Inventors Of Democracy,3,20,9
People,Inventory Crew,2,13,9
People,Iowans,1,6,6
People,Irish Soccer League,3,17,5
People,Irreverent Street Bands,3,21,10
People,Irritated Hecklers,2,17,9
People,Irritating Hecklers,2,18,10
People,Italian Immigrants,2,17,7
People,Jam-Packed Crowd,2,14,9
People,Jazz Band,2,8,4
People,Jazz Ensemble,2,12,4
People,Jazz Greats,2,10,4
People,Jazz Musicians,2,13,4
People,Jazz Quartet,2,11,4
People,Jewelry & Handbag Designer,3,22,7
People,Job Applicants,2,13,3
People,Jodie Foster,2,11,5
People,Joggers,1,7,7
People,Joggers In Griffith Park,4,21,7
People,Joint Chiefs Of Staff,4,18,5
People,Jordanians,1,10,10
People,Jovial Clubgoers,2,15,6
People,Jovial Patrons,2,13,6
People,Judge & Jury,2,9,5
People,Judge And Bailiff,3,15,5
People,Judge And Jury,3,12,5
People,Jugglers & Unicyclists,2,19,8
People,Jugglers And Clowns,3,17,8
People,Juggling Clown,2,13,8
People,Jumping Acrobats,2,15,7
People,Junior Daredevils,2,16,6
People,Junior Varsity Squad,3,18,6
People,Juniors And Seniors,3,17,7
People,Jury Panel,2,9,4
People,Jury Pool,2,8,4
People,Justice Department Attorneys,3,26,7
People,Kabuki Theater Troupe,3,19,6
People,Kentuckians,1,11,11
People,Kids Of All Ages,4,13,4
People,Kind Father,2,10,4
People,Kind Nature,2,10,4
People,Kindred Hippie Spirits,3,20,7
People,Kindred Spirits,2,14,7
People,King Of The Gods,4,13,4
People,King Queens & Knights,3,17,4
People,Kings & Queens,2,11,5
People,Kings And Dukes,3,13,5
People,Kings And Queens,3,14,5
People,Kings Queens & Knights,3,18,5
People,"Kings, Queens & Knights",3,18,6
People,Kissing Cousins,2,14,7
People,Kiteboarder,1,11,11
People,Knowledgeable Adversaries,2,24,13
People,Knowledgeable Advisers,2,21,13
People,Knowledgeable Individual,2,23,13
People,Knowledgeable Individuals,2,24,13
People,Kremlin Ballet,2,13,7
People,Laborers & Merchants,2,17,8
People,Ladies & Gentlemen,2,15,6
People,Ladies And Gentlemen,3,18,6
People,Landlord & Tenant,2,14,8
People,Landlords,1,9,9
People,Landlubbers,1,11,11
People,Landscape Artists,2,16,9
People,Large Church Congregations,3,24,5
People,Large Family,2,11,5
People,Large Number Of Voters,4,19,5
People,Large Numbers Of Voters,4,20,5
People,Las Vegas Showgirls,3,17,3
People,Last-Minute Arrivals,2,18,10
People,Late Bloomer,2,11,4
People,Late Bloomers,2,12,4
People,Latin Kings,2,10,5
People,Laughing Crowds,2,14,8
People,Lavender Growers,2,15,8
People,Law Students,2,11,3
People,Lawmakers,1,9,9
People,Layers Of Bread Soaked In Milk With Raisins,8,36,6
People,Lead Vocals,2,10,4
People,Leaders & Followers,2,16,7
People,Leading Expert,2,13,7
People,Leading Trailblazers,2,19,7
People,Left & Right Fielders,3,17,4
People,Legal Counsel,2,12,5
People,Legal Guardians,2,14,5
People,Legendary Actors,2,15,9
People,Legendary Artists,2,16,9
People,Legendary Broadcasters,2,21,9
People,Legendary Frontiersmen,2,21,9
People,Legendary Hollywood Icons,3,23,9
People,Legendary Jazz Musicians,3,22,9
People,Legendary Lead Singers,3,20,9
People,Legendary Leaders,2,16,9
People,Legendary Musicians,2,18,9
People,Legendary Performers,2,19,9
People,Legendary Players,2,16,9
People,Legends,1,7,7
People,Legislative Branch,2,17,11
People,Legislators,1,11,11
People,Leisure Travelers,2,16,7
People,Lenape Tribe,2,11,6
People,Leos & Geminis,2,11,4
People,Leos & Virgos,2,10,4
People,Lesser-Known Performers,2,21,11
People,Levelheaded Friend,2,17,11
People,Liberal Democrats,2,16,7
People,Libra & Virgos,2,11,5
People,Librans & Aries,2,12,7
People,Libras,1,6,6
People,Libras & Virgos,2,12,6
People,Licensed Pilots,2,14,8
People,Lifelong Fans,2,12,8
People,Lifelong Friends,2,15,8
People,Lifelong Viewers,2,15,8
People,Light Owls,2,9,5
People,Line Dancers,2,11,4
People,Linebackers,1,11,11
People,Linebackers & Halfbacks,2,20,11
People,Lion-Dance Troupe,2,15,9
People,Little Baby,2,10,6
People,Little Kids,2,10,6
People,Little League,2,12,6
People,Little Tikes,2,11,6
People,Live Band,2,8,4
People,Lively Calypso Band,3,17,6
People,Lively Musical Acts,3,17,6
People,Lively Personalities,2,19,6
People,Living Legends,2,13,6
People,Lobbying Firms,2,13,8
People,Lobbyists,1,9,9
People,Local,1,5,5
People,Local Artist,2,11,5
People,Local Artists,2,12,5
People,Local Chocolatiers,2,17,5
People,Local Community,2,14,5
People,Local Craftsmen,2,14,5
People,Local Customers,2,14,5
People,Local Experts,2,12,5
People,Local Family Members,3,18,5
People,Local Farmers,2,12,5
People,Local Fishermen,2,14,5
People,Local Guides,2,11,5
People,Local League,2,11,5
People,Local Mechanic,2,13,5
People,Local News Anchors,3,16,5
People,Local Radio Celebrities,3,21,5
People,Local Radio Listeners,3,19,5
People,Local Residents,2,14,5
People,Local Sponsers,2,13,5
People,Local Staff,2,10,5
People,Locals & Tourists,2,14,6
People,Longshoremen,1,12,12
People,Longtime Customers,2,17,8
People,Longtime Enthusiasts,2,19,8
People,Longtime Pals,2,12,8
People,Longtime Subscribers,2,19,8
People,Lords & Serfs,2,10,5
People,Loud And Obnoxious Neighbors,4,25,4
People,Loud Snorers,2,11,4
People,Lovebirds,1,9,9
People,Loved Ones,2,9,5
People,Lovely Bride,2,11,6
People,Lovely Child,2,11,6
People,Lovely Couple,2,12,6
People,Lovely Girls,2,11,6
People,Lovely Woman,2,11,6
People,Loving Family,2,12,6
People,Loving Grandparents,2,18,6
People,Loving Mother & Father,3,18,6
People,Loyal Army,2,9,5
People,Loyal Baseball Fans,3,17,5
People,Loyal Clientele,2,14,5
People,Loyal Customer,2,13,5
People,Loyal Customers,2,14,5
People,Loyal Employees,2,14,5
People,Loyal Fans,2,9,5
People,Loyal Followers,2,14,5
People,Loyal Friends,2,12,5
People,Loyal Radio Listeners,3,19,5
People,Loyal Subjects,2,13,5
People,Loyal Viewers,2,12,5
People,Lumberjack,1,10,10
People,Lyricists & Composers,2,18,9
People,Magazine Readers,2,15,8
People,Magicians,1,9,9
People,Main Antagonist,2,14,4
People,Main Squeeze,2,11,4
People,Make-A-Wish Donors,2,15,9
People,Makeup Artist,2,12,6
People,Male Friend,2,10,4
People,Males & Females,2,12,5
People,Mall-Hoppers,1,11,11
People,Mama & Papa,2,8,4
People,Managers & Directors,2,17,8
People,Many Local Authors,3,16,4
People,Marching Band,2,12,8
People,Marine Band,2,10,6
People,Mark Harmon,2,10,4
People,Mark Wahlberg,2,12,4
People,Marketing Department,2,19,9
People,Married Couple,2,13,7
People,Married Couples,2,14,7
People,Married Men,2,10,7
People,Maternal Grandparents,2,20,8
People,Math Geeks,2,9,4
People,Matrons Of Honor,3,14,7
People,Mature Adults,2,12,6
People,Mature Audiences,2,15,6
People,Mature Women,2,11,6
People,Maze-Goers,1,9,9
People,Mediator & Motivator,2,17,8
People,Medic,1,5,5
People,Megabucks Millionaires,2,21,9
People,Melt-In-Your-Mouth Chocolates,2,25,15
People,Members Of Congress,3,17,7
People,Members Of Society,3,16,7
People,Members Of The All-Star Team,5,23,7
People,Members Of The Family,4,18,7
People,Memorable Character Actors,3,24,9
People,Memorable Characters,2,19,9
People,Memorable Contestants,2,20,9
People,Memorable Philosophers,2,21,9
People,Memorable Philosphers,2,20,9
People,Men And Women,3,11,3
People,Men Women & Children,3,16,3
People,Men's A Capella Chorus,4,18,4
People,Men's A Cappella Chorus,4,19,4
People,Mentors & Friends,2,14,7
People,Merchant Marines,2,15,8
People,Merchant Sailors,2,15,8
People,Merry Caroler,2,12,5
People,Merry Carolers,2,13,5
People,Midfielder,1,10,10
People,Midwesterners,1,13,13
People,Military Leaders,2,15,8
People,Military Personnel,2,17,8
People,Millennials,1,11,11
People,Millionaires & Billionaires,2,24,12
People,Millions Of Americans,3,19,8
People,Millions Of Die-Hard Fans,4,21,8
People,Millions Of People Per Year,5,23,8
People,Millions Of Twitter Followers,4,26,8
People,Millions Of Visitors Per Year,5,25,8
People,Minor League Players,3,18,5
People,Mobile Army Unit,3,14,6
People,Mom & Dad,2,6,3
People,Mom & Pop,2,6,3
People,Mommy & Daddy,2,10,5
People,Moms & Dads,2,8,4
People,Monarchs,1,8,8
People,Moral Majority,2,13,5
People,Morning News Show Hosts,4,20,7
People,Moscow State Philharmonic Orchestra,4,32,6
People,Most-Popular Guy In Class,4,21,11
People,Most-Trusted Advisors,2,19,11
People,Mother,1,6,6
People,Mother & Father,2,12,6
People,Mother & Son,2,9,6
People,Mother Father Sister & Brother,4,25,6
People,Mothers & Daughters,2,16,7
People,Mothers & Fathers,2,14,7
People,Mothers & Sons,2,11,7
People,Mothers And Fathers,3,17,7
People,Motivated Staff,2,14,9
People,Motivational Speaker,2,19,12
People,Motivational Speakers,2,20,12
People,Mountain Bikers,2,14,8
People,Mountain Climbers,2,16,8
People,Mountain Man,2,11,8
People,Mountain Men,2,11,8
People,Mountaineers & Climbers,2,20,12
People,Movers And Shakers,3,16,6
People,Movie & Film Geeks,3,14,5
People,Movie Madness,2,12,5
People,Movie Producers,2,14,5
People,Moving Men,2,9,6
People,Mud Wrestlers,2,12,3
People,Multicultural Society,2,20,13
People,Multiple Emmy Winners,3,19,8
People,Multiple Lottery Winners,3,22,8
People,Multiple-Emmy Winners,2,19,12
People,Music Lovers,2,11,5
People,Musical Acts,2,11,7
People,Musical Geniuses,2,15,7
People,Mutual Friends,2,13,6
People,My Ancestors,2,11,2
People,My Best Friend,3,12,2
People,My Boyfriend,2,11,2
People,My Family,2,8,2
People,My Favorite Baseball Team,4,22,2
People,My Favorite Nba Team,4,17,2
People,My Favorite Sports Team,4,20,2
People,My Fellow Vacationers,3,19,2
People,My Stylish Dad,3,12,2
People,Mystery Writers,2,14,7
People,Mystics & Fortunetellers,2,21,7
People,Nairobians,1,10,10
People,Narrator,1,8,8
People,National Board Member,3,19,8
People,National Board Members,3,20,8
People,National Booksellers,2,19,8
People,National Champions,2,17,8
People,National Committee,2,17,8
People,National Heroes,2,14,8
People,Native American Artists,3,21,6
People,Native Americans,2,15,6
People,Native Indians,2,13,6
People,Native New Yorker,3,15,6
People,Native New Yorkers,3,16,6
People,Native Russians,2,14,6
People,Natural Blondes,2,14,7
People,Natural Redheads,2,15,7
People,Naturalists,1,11,11
People,Nature Aficionados,2,17,6
People,Nature Lovers,2,12,6
People,Navy Reserve,2,11,4
People,Navy Seals,2,9,4
People,Neanderthal,1,11,11
People,Neanderthals,1,12,12
People,Nearby Residents,2,15,6
People,Neighborhood Babysitter,2,22,12
People,Neighbors,1,9,9
People,Nerdy Girls,2,10,5
People,Nerdy Hipsters,2,13,5
People,Network Of Friends,3,16,7
People,New Administration,2,17,3
People,New Employees,2,12,3
People,New Fathers,2,10,3
People,New Friends,2,10,3
People,New Homebuyers,2,13,3
People,New Homeowner,2,12,3
People,New Homeowners,2,13,3
People,New Members,2,10,3
People,New Neighbors,2,12,3
People,New Patients,2,11,3
People,New Recruits,2,11,3
People,New Sitcom Stars,3,14,3
People,New Students,2,11,3
People,New Tenants,2,10,3
People,New Yorkers,2,10,3
People,Newborn Babies,2,13,7
People,Newcomers,1,9,9
People,Newly Married Couple,3,18,5
People,Newly Sworn-In Senators,3,20,5
People,Newlywed Couple,2,14,8
People,Newlyweds,1,9,9
People,News Crew,2,8,4
People,News Crews,2,9,4
People,News Pundit,2,10,4
People,Nfl Draft Picks,3,13,3
People,Nieces & Nephews,2,13,6
People,Nieces And Nephews,3,16,6
People,Night Owls,2,9,5
People,Nine Supreme Court Justices,4,24,4
People,Nobel Prize Nominees,3,18,5
People,Nobel Prize Recipients,3,20,5
People,Noble Families,2,13,5
People,Noble Spectators,2,15,5
People,Noblewomen,1,10,10
People,Non-Comissioned Officers,2,22,14
People,Nonprofit Group,2,14,9
People,Nonsmokers,1,10,10
People,Normal Crowd,2,11,6
People,Norsemen,1,8,8
People,No-Shows,1,7,7
People,Nosy Neighbors,2,13,4
People,Notable Authors,2,14,7
People,Noted Author,2,11,5
People,Notre Dame Fighting Irish,4,22,5
People,Notre Dames Fighting Irish,4,23,5
People,Offensive & Defensive Players,3,25,9
People,Offensive Line,2,13,9
People,Offensive Lineman,2,16,9
People,Official Fan Club,3,15,8
People,Official Sponsor,2,15,8
People,Officials Calling A Penalty,4,24,9
People,Old Chums,2,8,3
People,Old Friends,2,10,3
People,Old High School Friends,4,20,3
People,Old High-School Friends,3,20,3
People,Old Roommates,2,12,3
People,Older Siblings,2,13,5
People,Olive Oil Producers,3,17,5
People,Olive-Oil Producers,2,17,8
People,Olympians,1,9,9
People,Olympic Athletes,2,15,7
People,Olympic Gold Medalists,3,20,7
People,Olympic Gymnasts,2,15,7
People,Olympic Medal Winners,3,19,7
People,Olympic Medalists,2,16,7
People,Olympic Sprinters,2,16,7
People,One Big Happy Family,4,17,3
People,One-Term U.S. Presidents,3,19,7
People,Online Publishing Group,3,21,6
People,Online Purchasing Group,3,21,6
People,Opera Singers,2,12,5
People,Opposing Team,2,12,8
People,Optimists,1,9,9
People,Optimists & Pessimists,2,19,9
People,Orchestra's Percussion Section,3,27,10
People,Organic Chemists,2,15,7
People,Organic Farmers,2,14,7
People,Organic-Minded Shoppers,2,21,13
People,Original Broadway Cast,3,20,8
People,Orthodox Jews,2,12,8
People,Oscar Nominees,2,13,5
People,Oscar Winners,2,12,5
People,Our Country's Forefathers,3,22,3
People,Outdoor Enthusiasts,2,18,7
People,Outfielders & Infielders,2,21,11
People,Out-Of-State Visitors,2,18,10
People,Out-Of-Town Guests,2,15,9
People,Out-Of-Town Visitors,2,17,9
People,Outsiders,1,9,9
People,Overbearing Mother,2,17,11
People,Overseas Visitors,2,16,8
People,Oyster Farmers,2,13,6
People,Pacific Islanders,2,16,7
People,Pagan Cults,2,10,5
People,Palace Guards,2,12,6
People,Panel Of Experts,3,14,5
People,Panel Of Judges,3,13,5
People,Paparazzi,1,9,9
People,Paranormal Investigation Team,3,27,10
People,Parental Figure,2,14,8
People,Parents & Kids,2,11,7
People,Parents & Teachers,2,15,7
People,Parents And Toddlers,3,18,7
People,Park Hoppers,2,11,4
People,Park Patrons,2,11,4
People,Park-Hoppers,1,11,11
People,Participating Merchants,2,22,13
People,Participating Retailers,2,22,13
People,Partners For Life,3,15,8
People,Partners In Crime,3,15,8
People,Party-Crashers,1,13,13
People,Partygoers,1,10,10
People,Passionate Fan Base,3,17,10
People,Past Presidents,2,14,4
People,Past Presidents Of The United States',6,31,4
People,Pasta Lovers,2,11,5
People,Paternal Grandparents,2,20,8
People,Patients,1,8,8
People,Patricians,1,10,10
People,Patriotic Citizens,2,17,9
People,Patrons Of The Arts,4,16,7
People,Paying Customers,2,15,6
People,Payroll Department,2,17,7
People,Peaceful Community,2,17,8
People,Peakbaggers,1,11,11
People,Peanut Gallery,2,13,6
People,Peer Group,2,9,4
People,Pennsylvania Dutch,2,17,12
People,Penny Pincher,2,12,5
People,Pep Squad,2,8,3
People,Perfect Couple,2,13,7
People,Performance Artists,2,18,11
People,Performance Troupe,2,17,11
People,Performing Artists,2,17,10
People,Persians,1,8,8
People,Person Hockey Legend,3,18,6
People,Personal Advisers,2,16,8
People,Personal Advisors,2,16,8
